NAME,ADDRESS,CITY,STATE,ZIP,PHONE,URL,Cuisines,Rating
1325 Deli Corp.,1323 S Powerline Rd,Pompano Beach,FL,33069,((95) 4) -592-,1325delicorp..com,Deli ,3
13th Street Take Out,510 Northeast 13th Street,Fort Lauderdale,FL,33304,(954)527-4277,13thstreettakeout.com,Cheesesteaks,4
13th Street Take Out,510 NE 13th St,Fort Lauderdale,FL,33304,(954) 527-4277,13thstreettakeout.com,Cheesesteaks,3
1436 Restaurant,1436 Drexel Avenue,Miami,FL,33125,(305)673-2003,1436restaurant.com,American,2
1436 Restaurant,1436 Drexel Ave,Miami Beach,FL,33139,(305) 673-2003,1436restaurant.com,American,2
1444 Coffee Shop,1444 Biscayne Blvd Ste 103,Miami,FL,33132,(305) 374-5778,1444coffeeshop.com,Coffee  Beverage,2
14th Avenue Steak House,2023 14th Avenue,Vero Beach,FL,32960,(772)778-1020,14thavenuesteakhouse.com,Steak,3
15 South Ristorante Enoteca,15 S Blvd Of Presidents,Sarasota,FL,34236,(941) 388-1555,15southristoranteenoteca.com,Italian ,1
1501 Barton G,1501 Collins Avenue,Miami Beach,FL,33139,(305)674-8848,1501bartong.com,Bar   Grill ,5
15th Street Fisheries,1900 Southeast 15th Street,Fort Lauderdale,FL,33316,(954)763-2777,15thstreetfisheries.com,Seafood,3
168 Chinese Restaurant,3030 East Semoran Boulevard,Apopka,FL,32703,(407)862-1688,168chineserestaurant.com,Chinese,3
168 Chinese Restaurant,3030 E Semoran Blvd Ste 132,Apopka,FL,32703,(407) 862-1688,168chineserestaurant.com,Chinese,5
168 Wok and Grill,2414 North Wickham Road,Melbourne,FL,32935,(321)752-6898,168wokandgrill.com,Italian,3
1878 Tavern   Grille,12 North 2nd Street,Fernandina Beach,FL,32034,(904)261-8103,1878taverngrille.com,Italian,4
1878 Tavern   Grille,12 N 2nd St,Fernandina Beach,FL,32034,(904) 261-8103,1878taverngrille.com,Italian,5
19 Pub   Grille,4400 Fairwinds Dr,Fort Pierce,FL,34946,(772)595-3443,19pubgrille.com,Italian,2
1909 Cafe,5710 Bird Road,Miami,FL,33155,(305)666-1909,1909cafe.com,Burger Coffee,3
1909 Cafe,5710 SW 40TH St,Miami,FL,33155,(305) 666-1909,1909cafe.com,Burger Coffee,4
1909 Cafe,5710 Bird Rd,South Miami,FL,33155,(305) 666-1909,1909cafe.com,Burger Coffee,2
1920 Restaurant,146 Biscayne Blvd,Miami,FL,33132,(305) 358-4555,1920restaurant.com,American    Other    Seafood    Steakhouse ,4
1st Ave Deli,2900 W Sample Rd,Pompano Beach,FL,33073,(954)968-8030,1stavedeli.com,FastFood ,2
1st Avenue Deli,6000 Glades Road Suite 1174,Boca Raton,FL,33431,(561)391-2489,1stavenuedeli.com,FastFood ,4
1st Street Cafe,3506 1ST ST,Bradenton,FL,34208,(941) 746-9344,1ststreetcafe.com,Coffee  Beverage,4
1st Street Cafe   Catering,2303 1st Street,Bradenton,FL,34208,(941)746-2229,1ststreetcafecatering.com,Burger Coffee,5
2 Chefs,8287 South Dixie Highway,Miami,FL,33143,(305)663-2100,2chefs.com,Italian,3
2 for 20 Pizza,30348 Overseas Highway,Big Pine Key,FL,33043,(305)872-7444,2for20pizza.com,Pizza,3
2 Guys Pizza   Subs,501 N Volusia Ave,Orange City,FL,32763,(386) 917-0590,2guyspizzasubs.com,Deli    Pizza ,5
2 Joe's Subs Incorporated,952 W Hallandale Beach Blvd,Hallandale Beach,FL,33009,(954) 456-2563,2joessubsincorporated.com,Deli ,4
2 Scoops Cafe,150 Alafaya Woods Blvd.,Oviedo,FL,32765,(407)359-7700,2scoopscafe.com,Burger Coffee,5
2 Scoops Café,2431 Aloma Ave Suite 258,Winter Park,FL,32792,(407)657-0363,2scoopscafe.com,IceCream   Frozen Yogurt,3
2000 Cafe,500 W 49TH St Ste C,Hialeah,FL,33012,(305) 828-0690,2000cafe.com,Burger Coffee,5
2000 Cafe Inc,500 West 49th Street Suite C,Hialeah,FL,33012,(305)828-0690,2000cafeinc.com,Burger Coffee,3
2000 Cafe Inc,500 W 49th St,Hialeah,FL,33012,(305) 828-0690,2000cafeinc.com,Burger Coffee,1
20th Avenue Deli,4425 West 20th Avenue,Hialeah,FL,33012,(305)231-5787,20thavenuedeli.com,FastFood ,2
20th Hole Bar   Grill,8342 New York Avenue,Hudson,FL,34667,(727)863-0793,20thholebargrill.com,Bar   Grill ,1
220 East,220 East Davis Boulevard,Tampa,FL,33606,(813)259-1220,220east.com,American Bar,3
220 East,220 E Davis Blvd,Tampa,FL,33606,(813) 259-1220,220east.com,American Bar,4
22nd Street Gyros,4014 North 22nd Street,Tampa,FL,33610,(813)237-4976,22ndstreetgyros.com,American,5
2606 North Armenia,2606 N Armenia Ave,Tampa,FL,33607,(813) 875-6993,2606northarmenia.com,American,2
264 Restaurant,264 South County Road,Palm Beach,FL,33480,(561)833-6444,264restaurant.com,American,2
264 Restaurant,264 S County Rd,Palm Beach,FL,33480,(561) 833-6444,264restaurant.com,American,1
2nd Generation Bar   Grill,711 West Indiantown Road,Jupiter,FL,33458,(561)747-0032,2ndgenerationbargrill.com,Italian,1
2nd Generation Bar   Grill,711 W Indiantown Rd,Jupiter,FL,33458,(561) 747-0032,2ndgenerationbargrill.com,Italian,3
3 Fishermen Seafood Restaurant,5100 South Cleveland Avenue Suite 313,Fort Myers,FL,33907,(239)931-3474,3fishermenseafoodrestaurant.com,Seafood,3
3 G's Gourmet Deli,5869 W Atlantic Ave,Delray Beach,FL,33484,(561) 498-3910,3gsgourmetdeli.com,Deli ,2
3 G'S Gourmet Deli   Restaurant,5869 West Atlantic Avenue,Delray Beach,FL,33484,(561)498-3910,3gsgourmetdelirestaurant.com,FastFood  ,4
3 Girls   1 Kitchen,1500 State Rd 37 N,Mulberry,FL,33860,(863) 425-8883,3girls1kitchen.com,FastFood  ,1
3 J's Pizza   Subs,3411 NW 2ND St,Fort Lauderdale,FL,33311,(954) 791-2257,3jspizzasubs.com,Deli    Pizza ,5
3 J'S Pizza and Subs,3411 Northwest 2nd Street,Fort Lauderdale,FL,33311,(954)791-2257,3jspizzaandsubs.com,Pizza ,4
3 J'S Pizza Subs   Things,2711 West Sunrise Boulevard Suite 3,Fort Lauderdale,FL,33311,(954)791-2260,3jspizzasubsthings.com,Pizza ,1
3 Leches Factory Incorporated,5227 NW 79TH Ave,Doral,FL,33166,(305) 477-1009,3lechesfactoryincorporated.com,Pizza ,5
3 Lions British Pub   Restaurant,4755 Gulf Blvd,St Petersburg,FL,33706,(727) 367-2748,3lionsbritishpubrestaurant.com,Bar   Grill ,2
3 Little Pigs Restaurant   Mkt,3550 N 40TH St,Tampa,FL,33605,(813) 849-2155,3littlepigsrestaurantmkt.com,American,4
3 Palms Grille,8203 North Armenia Avenue,Tampa,FL,33604,(813)933-2401,3palmsgrille.com,Bar   Grill ,2
3 Palms Grille   Gallery,8203 N Armenia Ave,Tampa,FL,33604,(813) 933-2401,3palmsgrillegallery.com,American ,5
3 Sisters Restaurant,2206 Davis Boulevard,Naples,FL,34104,(239)793-2221,3sistersrestaurant.com,American,2
3 T's Pizza Subs   Salads Incorporated,3757 Bruce B Downs Blvd,Wesley Chapel,FL,33544,(813) 428-5935,3tspizzasubssaladsincorporated.com,Pizza,2
3 Wishes Florida Bar   Grill,2080 N Atlantic Ave,Cocoa Beach,FL,32931,(321) 783-9222,3wishesfloridabargrill.com,Seafood ,1
3-6-9 Incorporated,1425 Tuskawilla Rd,Winter Springs,FL,32708,(407) 695-3699,369incorporated.com,Seafood ,4
3-Six-Nine Inc,1425 Tuskawilla Road,Winter Springs,FL,32708,(407)695-3699,3sixnineinc.com,Seafood ,5
30 Day Gourmet,2095 Drew St,Clearwater,FL,33765,(727)443-1330,30daygourmet.com,FastFood ,4
30 Degree Blue,3900 Marriott Drive,Panama City,FL,32408,(850)236-1115,30degreeblue.com,Seafood,1
301 Bar   Grill,12464 N US Hwy 301,Thonotosassa,FL,33592,(813) 986-2796,301bargrill.com,Bar   Grill ,4
301 Family Restaurant,3407 North USHighway 301,Tampa,FL,33619,(813)623-3612,301familyrestaurant.com,American,3
3030 Ocean,3030 Holiday Dr,Fort Lauderdale,FL,33316,(954) 765-3030,3030ocean.com,Seafood ,3
31 Logistics Inc,100 Railroad Ave,Haines City,FL,33844,(863)421-6500,31logisticsinc.com,IceCream   Frozen Yogurt ,3
310 Lakeside,301 E Pine St,Orlando,FL,32801,(407) 373-0310,310lakeside.com,Campodian,1
310 Park South,310 S Park Ave,Winter Park,FL,32789,(407)647-7277,310parksouth.com,FastFood  ,4
32 East,32 E Atlantic Ave,Delray Beach,FL,33444,(561) 276-7868,32east.com,Lao,5
320 Night Club,320 Lincoln Rd,Miami Beach,FL,33139,(305) 531-2800,320nightclub.com,Bar   Grill ,5
33 Flavors of Florida Inc,8051 North Tamiami Trail,Sarasota,FL,34243,(941)355-1933,33flavorsoffloridainc.com,IceCream   Frozen Yogurt Shops,5
33 Flavors of Florida Incorporated,8051 N Tamiami Trl,Sarasota,FL,34243,(941) 355-1933,33flavorsoffloridaincorporated.com,Desserts ,5
331 Restaurant,24200 USHighway 331 South,Santa Rosa Beach,FL,32459,(850)622-3335,331restaurant.com,American,4
33rd   Dine French Cafe,3330 NE 33rd St,Fort Lauderdale,FL,33308,(954) 630-0235,33rddinefrenchcafe.com,French ,5
33rd and Dine French Cafe,3330 Northeast 33rd Street,Fort Lauderdale,FL,33308,(954)630-0235,33rdanddinefrenchcafe.com,Burger Coffee,5
3401 West Bay to Bay Blvd,suite A,Tampa,FL,33629,(813) 832-5303,3401westbaytobayblvd.com,Korean,2
360 McNab Grille,360 East McNab Road,Pompano Beach,FL,33060,(954) 785-1920,360mcnabgrille.com,Bar   Grill ,4
3B'S Lounge in the Pavilion,8935 Tamiami Trail North,Naples,FL,34108,(239)566-3200,3bsloungeinthepavilion.com,Bar   Grill ,1
3rd Base Pizza   Subs,3351 Tampa Rd.,Palm Harbor,FL,34684,(727) 786-3636,3rdbasepizzasubs.com,FastFood ,2
3rd Base Sports Bar,1905 Southwest College Road,Ocala,FL,34474,(352)671-7301,3rdbasesportsbar.com,Bar   Grill ,3
3rd Street Saloon,118 3RD St SW,Winter Haven,FL,33880,(863) 294-1235,3rdstreetsaloon.com,Taiwanese,5
4   20 Pasty Company,5638 SWift Road,Sarasota,FL,34231,(941)927-1421,420pastycompany.com,French ,4
4 5 6 Chinese Restaurant,657 North Primrose Drive,Orlando,FL,32803,(407)898-1899,456chineserestaurant.com,Chinese,4
4 Brothers,7323 W Atlantic Ave,Delray Beach,FL,33446,(561) 496-3990,4brothers.com,Pizza,3
4 Brothers Italian Restaurant   Pizzeria,7323 W Atlantic Ave,Delray Beach,FL,33446,(561) 496-3990,4brothersitalianrestaurantpizzeria.com,Italian ,1
4 Friends Ice-Cream Parlour,1519 Main St.,Dunedin,FL,34698,(727) 733-7899,4friendsicecreamparlour.com,IceCream   Frozen Yogurt ,4
4 Seas Sandwich Shop   Deli,8960 Southwest 87th Court Suite 7,Miami,FL,33176,(305)271-6707,4seassandwichshopdeli.com,Delicatessens ,1
4-5-9 Chinese Restaurant,657 N Primrose Dr,Orlando,FL,32803,(407) 896-0709,459chineserestaurant.com,Chinese,3
40th Street Restaurant,3206 N 40TH St,Tampa,FL,33605,(813) 626-7848,40thstreetrestaurant.com,American,2
420 East Atlantic,420 E Atlantic Avenue,Delray Beach,FL,33483,(561)330-0087,420eastatlantic.com,American ,1
420 Park Place Grill   Tavern,420 Park Place Boulevard,Clearwater,FL,33759,(727)796-7867,420parkplacegrilltavern.com,Italian,5
420 Park Place Nightclub   Lounge,420 Park Place Blvd suite 500,Clearwater,FL,33759,(727) 796-7867,420parkplacenightclublounge.com,Bar   Grill ,5
42nd St Bistro,516 South Howard Avenue,Tampa,FL,33606,(813)253-0042,42ndstbistro.com,Bistro,3
42nd St Bistro,516 S Howard Ave,Tampa,FL,33606,(813) 253-0042,42ndstbistro.com,Bistro,1
42nd Street Bistro,516 S Howard Ave,Tampa,FL,33606,(813) 253-0042,42ndstreetbistro.com,American ,5
42nd Street Bistro,315 S Plant Ave,Tampa,FL,33606,(813) 265-4244,42ndstreetbistro.com,Bistro,2
42nd Street Video,2843 US Hwy 19,Holiday,FL,34691,(727) 945-8474,42ndstreetvideo.com,Bistro,4
42nd Street Videos,18329 US Hwy 19 Ste F,Hudson,FL,34667,(727) 869-0313,42ndstreetvideos.com,American ,1
43rd Street Deli   Breakfast House,3483 Southwest Williston Road,Gainesville,FL,32608,(352)373-5656,43rdstreetdelibreakfasthouse.com,Deli  Pizza  FastFood ,5
43rd Street Deli   Breakfast House,1505 Nw 13th St,Gainesville,FL,32601,(352)373-3354,43rdstreetdelibreakfasthouse.com,Deli  Pizza  FastFood ,5
43rd Street Deli   Breakfast House,4401 Northwest 25th Place,Gainesville,FL,32606,(352)373-2927,43rdstreetdelibreakfasthouse.com,Deli  Pizza  FastFood ,3
441 All-Star Sports Bar,1510 South State Road 7,Hollywood,FL,33023,(954)961-7025,441allstarsportsbar.com,Bar   Grill ,2
441 All-Star Sports Bar,1510 N Sr-7,Hollywood,FL,33021,(954) 961-7025,441allstarsportsbar.com,Bar   Grill ,5
459 Chinese Restaurant,657 North Primrose Drive,Orlando,FL,32803,(407)896-0709,459chineserestaurant.com,Chinese,4
459 Chinese Restaurant,657 N Primrose Dr,Orlando,FL,32803,(407) 896-0709,459chineserestaurant.com,Chinese,1
46th South Beach,46 46TH AVE,Saint Petersburg,FL,33706,(727) 360-9414,46thsouthbeach.com,Seafood,2
4900 Plaza Cafe,4900 Linton Boulevard Suite 14,Delray Beach,FL,33445,(561)638-0444,4900plazacafe.com,Burger Coffee,5
4th Avenue Cafe,3202 East 4th Street,Tampa,FL,33605,(813)248-1229,4thavenuecafe.com,American ,2
4th Quarter,2033 North Monroe Street,Tallahassee,FL,32303,(850)385-0017,4thquarter.com,American Bar,2
4th St Pub,5415 4TH St N,St Petersburg,FL,33703,(727) 525-5304,4thstpub.com,Bar   Grill ,2
4WEBMED,2805 North Commerce Parkway,Miramar,FL,33025,(954)322-2668,4webmed.com,IceCream   Frozen Yogurt ,4
5   Diner,12286 East Colonial Drive,Orlando,FL,32826,(407)207-1952,5diner.com,Mexican ,5
5 Brothers Groceries   Sandwich Shop,930 Southard Street,Key West,FL,33040,(305)296-5205,5brothersgroceriessandwichshop.com,FastFood  ,5
5 Brothers Pizza,599 South Collier Boulevard Suite 303,Marco Island,FL,34145,(239)394-5100,5brotherspizza.com,Pizza ,2
5 Brothers Pizza,599 S Collier Blvd  #303,Marco Island,FL,34145,(239) 394-5100,5brotherspizza.com,Pizza ,3
5 J J J J J Delicatessen,7384 Bird Road,Miami,FL,33155,(305)265-4045,5jjjjjdelicatessen.com,FastFood ,4
5 Points Pizzeria,171 S. State Rd. 7,Margate,FL,33068,(954)968-1148,5pointspizzeria.com,Pizza ,2
5 Points Pizzeria,171 N Sr-7,Margate,FL,33063,(954) 968-1148,5pointspizzeria.com,Pizza ,1
5 Star Deli   Caterers,1101 Holland Drive,Boca Raton,FL,33486,(561) 995-6902,5stardelicaterers.com,Deli Sandwich,3
5 Star Deli   Catering,7825 Congress Street,New Port Richey,FL,34653,(727)845-1855,5stardelicatering.com,Delicatessens ,5
5061 Eaterie   Deli,1230 Ocean Dr,Miami Beach,FL,33139,(305) 756-5051,5061eateriedeli.com,Deli    Eclectic     French    Italian ,4
510 Ocean,510 Ocean Drive,Miami Beach,FL,33139,(305) 531-1788,510ocean.com,American    Seafood ,3
511 Franklin Inc,511 N Franklin St,Tampa,FL,33685,(813)225-1585,511franklininc.com,Italian ,5
5150 Brasserie,5150 TOWN CENTER CIRcle,Boca Raton,FL,33486,(561) 392-4600,5150brasserie.com,Eclectic ,5
5150 Restaurant   Piano Bar,5150 Town Ctr Cir,Boca Raton,FL,33486,(561) 392-4600,5150restaurantpianobar.com,Bar   Grill ,2
53 Sports Complex Restaurant   Lounge,560 North Myrtle Avenue,Jacksonville,FL,32204,(904)353-0016,53sportscomplexrestaurantlounge.com,Bar   Grill ,2
53 Sports Complex Restaurant   Lounge,560 Myrtle Ave N,Jacksonville,FL,32204,(904) 353-0016,53sportscomplexrestaurantlounge.com,Bar   Grill ,5
53rd Avenue Cafe,1139 53rd Ave W,Bradenton,FL,34207,(941) 727-1121,53rdavenuecafe.com,Burger Coffee,4
55 The Restaurant,455 Ocean Dr,Miami Beach,FL,33139,(305) 532-1200,55therestaurant.com,American    Eclectic  ,4
5jjjjj Delicatessen,7384 Bird Rd,Miami,FL,33155,(305) 265-4045,5jjjjjdelicatessen.com,Deli ,3
5th Avenue Coffee Company,599 5th Avenue South,Naples,FL,34102,(239)261-5757,5thavenuecoffeecompany.com,IceCream   Frozen Yogurt ,4
5th Ifth Avenue Cafe   Market,116 East 5th Avenue,Mount Dora,FL,32757,(352)383-0090,5thifthavenuecafemarket.com,Burger Coffee,2
5th Ifth Avenue Cafe   Market,116 E 5th Ave,Mt Dora,FL,32757,(352) 383-0090,5thifthavenuecafemarket.com,Burger Coffee,5
5th Street Cafe Plus,457 South Dixie Highway East,Pompano Beach,FL,33060,(954)545-9885,5thstreetcafeplus.com,Burger Coffee,4
5th Street Cafe Plus,457 S Dixie Hwy E,Pompano Beach,FL,33060,(954) 545-9885,5thstreetcafeplus.com,Burger Coffee,3
5th Street Charhouse,114 South 5th Street,Leesburg,FL,34748,(352)360-0030,5thstreetcharhouse.com,Burger Coffee,1
5th Street Charhouse,114 S 5th St,Leesburg,FL,34748,(352) 360-0030,5thstreetcharhouse.com,Burger Coffee,1
60 Watt Dance Club,1602 State Rd 60 E,Valrico,FL,33594,(813) 681-9000,60wattdanceclub.com,Bar   Grill ,4
601 New York Bistro,601 S. New York Ave.,Winter Park,FL,32789,(407) 628-5912,601newyorkbistro.com,Eclectic   ,1
620 Subs,805 N Federal Hwy,Boca Raton,FL,33432,(561) 620-7827,620subs.com,Deli ,5
67 Deli   Caterers,5360 North Federal Highway,Lighthouse Point,FL,33064,(954)426-5184,67delicaterers.com,Deli  Pizza  FastFood ,1
67 Deli   Caterers,5360 N Federal Hwy,Lighthouse Pt,FL,33064,(954) 426-5184,67delicaterers.com,Deli ,3
68th Street Bakery,6871 NE 3RD Ave,Miami,FL,33138,(305) 759-4857,68thstreetbakery.com,Bakeries,3
6th Street Cafe,524 South Andrews Avenue,Fort Lauderdale,FL,33301,(954)525-5442,6thstreetcafe.com,Burger Coffee,5
6th Street Cafe,524 S Andrews Ave,Fort Lauderdale,FL,33301,(954) 525-5442,6thstreetcafe.com,Burger Coffee,3
7 Days Bakery   Deli,924 Kennedy Drive Suite A,Key West,FL,33040,(305)293-1799,7daysbakerydeli.com,Deli  Pizza  FastFood ,4
7 Dollar Pizza,1292 SW 22ND St,Miami,FL,33145,(305) 856-7744,7dollarpizza.com,Pizza ,1
7 Eleven Food Store,1500 Edgewater Drive,Orlando,FL,32804,(407)841-0658,7elevenfoodstore.com,Sandwich Shops,2
7 Eleven Food Store,8250 World Center Dr,Orlando,FL,32821,(407) 239-1157,7elevenfoodstore.com,Sandwich Shops,3
7 Meats   Deli Incorporated,501 NE 20TH St,Boca Raton,FL,33431,(561) 394-4101,7meatsdeliincorporated.com,Deli ,5
7 Sisters Bar-B-Que,250 South 62nd Avenue,Hollywood,FL,33023,(954)987-7188,7sistersbarbque.com,Barbecue Bbq,2
7 Sisters Bar-B-Que,250 S 62nd Ave,Hollywood,FL,33023,(954) 987-7188,7sistersbarbque.com,Barbecue Bbq,1
717 South,717 S Howard Ave,Tampa,FL,33606,(813) 250-1661,717south.com,Korean Japanese,4
77 Travel Plaza,15500 Highway 77,Panama City,FL,32409,(850)271-0446,77travelplaza.com,American,2
770 Cafe,1346 Washington Avenue,Miami Beach,FL,33139,(305)672-1607,770cafe.com,Burger Coffee,5
789 Deli and Catering Inc,501 North Magnolia Avenue,Orlando,FL,32801,(407)650-1789,789deliandcateringinc.com,Deli,5
789 Deli and Catering Inc,501 N Magnolia Ave,Orlando,FL,32801,(407) 650-1789,789deliandcateringinc.com,Deli,2
790 North,790 Beal Parkway Northwest,Fort Walton Beach,FL,32547,(850)864-3474,790north.com,Deli  Pizza  FastFood ,3
79th Street Bar B Que,1772 NW 79TH St,Miami,FL,33147,(305) 836-4142,79thstreetbarbque.com,Barbecue ,3
7th Heaven,1725 E 7TH Ave,Tampa,FL,33605,(813) 242-0400,7thheaven.com,Burger Coffee,5
7th Heaven Psychic Cafe,PO Box 26934,Tampa,FL,33623,(813) 334-5034,7thheavenpsychiccafe.com,Burger Coffee,2
8 1   2 Restaurant,821 Washington Ave,Miami Beach,FL,33139,(786) 276-3850,812restaurant.com,American,4
8 Ball Lounge,14500 South Tamiami Trail,Fort Myers,FL,33912,(239)481-7377,8balllounge.com,Bar   Grill ,5
8 Trax,PO Box 10000,Lake Buena Vista,FL,32830,(407) 934-7781,8trax.com,FastFood ,4
8-Ball Lounge,3527 Webber St,Sarasota,FL,34239,(941) 922-8314,8balllounge.com,Bar   Grill ,5
818 Market   Deli,818 West Platt Street,Tampa,FL,33606,(813)251-4508,818marketdeli.com,Delicatessens Retail,1
818 Market   Deli,818 W Platt St,Tampa,FL,33606,(813) 251-4508,818marketdeli.com,Deli,3
818 Market Place Incorporated,818 W Platt St,Tampa,FL,33606,(813) 251-4508,818marketplaceincorporated.com,Deli ,1
84 Diner   Lounge,11432 West State Road 84,Davie,FL,33325,(954)370-8217,84dinerlounge.com,Bar   Grill ,1
84 Diner   Lounge,11432 W Sr-84,Fort Lauderdale,FL,33325,(954) 370-8217,84dinerlounge.com,Bar   Grill ,5
88  Pizza,464 S Hunt Club Blvd,Apopka,FL,32703,(407) 786-8888,88pizza.com,Italian ,1
88 Chinese Restaurant,6115 Silver Star Road,Orlando,FL,32808,(407)297-1171,88chineserestaurant.com,Chinese,1
88 Chinese Restaurant,4175 Town Center Boulevard,Orlando,FL,32837,(407)438-0388,88chineserestaurant.com,Chinese,2
88 Keys,725 North Highway A1A,Jupiter,FL,33477,(561)575-2100,88keys.com,American,4
88 Keys,725 Florida A1A,Jupiter,FL,33477,(561) 575-2100,88keys.com,American,5
88 Noodle,730 N Mills Ave,Orlando,FL,32803,(407) 897-3488,88noodle.com,Chinese,3
88 Pizza Restaurant,699 S Hunt Club Blvd,Apopka,FL,32703,(407) 786-8888,88pizzarestaurant.com,Pizza,3
8th Avenue Grille,1811 15th St,Tampa,FL,33605,(813)242-6616,8thavenuegrille.com,American    Italian ,5
8th Avenue Grille,1811 - 15th Street,Ybor City,FL,33605,(813) 242-6616,8thavenuegrille.com,American    Italian ,4
8th Avenue Grille,1811 N 15th St,Tampa,FL,33605,(813) 242-6616,8thavenuegrille.com,American    Italian ,4
8th Street Emporium,17 South 8th Street,Defuniak Springs,FL,32435,(850)951-1801,8thstreetemporium.com,IceCream   Frozen Yogurt ,4
8th Street Emporium,17 N 8th St,Defuniak Springs,FL,32433,(850) 951-1801,8thstreetemporium.com,IceCream   Frozen Yogurt ,4
9 Bangkok Restaurant,571 Central Avenue,Saint Petersburg,FL,33701,(727)894-5990,9bangkokrestaurant.com,Thai,3
9 Bangkok Restaurant,571 Central Ave,St Petersburg,FL,33701,(727) 894-5990,9bangkokrestaurant.com,Thai,5
900 Cafe,900 West 49th Street,Hialeah,FL,33012,(305)826-0204,900cafe.com,Burger Coffee,5
900 Cafe,900 W 49th St,Hialeah,FL,33012,(305) 826-0204,900cafe.com,Burger Coffee,1
901 Cafe,901 N Lake Destiny Rd Ste 100,Maitland,FL,32751,(407) 660-2538,901cafe.com,Burger Coffee,2
902 East Restaurant,902 E Brandon Blvd,Brandon,FL,33511,(813) 653-1902,902eastrestaurant.com,American,3
903 Mills Market,903 Mills Ave,Orlando,FL,32806,(407) 898-4392,903millsmarket.com,Deli ,1
94th Aero Squadron Restaurant,1395 Northwest 57th Avenue,Miami,FL,33126,(305)261-4220,94thaerosquadronrestaurant.com,American,5
